rank,name,star,amount,quote
"
102



",射雕英雄传之东成西就,8.7,341722人评价,"
百看不厌。 
"
"
103



",阳光姐妹淘,8.8,337171人评价,"
再多各自牛逼的时光，也比不上一起傻逼的岁月。 
"
"
104



",甜蜜蜜,8.8,279263人评价,"
相逢只要一瞬间，等待却像是一辈子。
"
"
105



",消失的爱人,8.7,460209人评价,"
年度最佳date movie。
"
"
106



",爱在黎明破晓前,8.8,283432人评价,"
缘分是个连绵词，最美不过一瞬。
"
"
107



",喜剧之王,8.6,423980人评价,"
我是一个演员。
"
"
108



",小森林 夏秋篇,8.9,188286人评价,"
那些静得只能听见呼吸的日子里，你明白孤独即生活。
"
"
109



",上帝之城,8.9,184487人评价,"
被上帝抛弃了的上帝之城。
"
"
110



",侧耳倾听,8.8,220761人评价,"
少女情怀总是诗。
"
"
111



",倩女幽魂,8.7,342141人评价,"
两张绝世的脸。 
"
"
112



",风之谷,8.8,219426人评价,"
动画片的圣经。
"
"
113



",恐怖直播,8.7,301601人评价,"
恐怖分子的“秋菊打官司”。
"
"
114



",红辣椒,8.9,178666人评价,"
梦的勾结。
"
"
115



",超脱,8.8,225076人评价,"
穷尽一生，我们要学会的，不过是彼此拥抱。
"
"
116



",爱在日落黄昏时,8.8,248839人评价,"
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
"
"
117



",菊次郎的夏天,8.8,241646人评价,"
从没见过那么流氓的温柔，从没见过那么温柔的流氓。
"
"
118



",驯龙高手,8.7,366229人评价,"
和谐的生活离不开摸头与被摸头。
"
"
119



",幸福终点站,8.7,276705人评价,"
有时候幸福需要等一等。 
"
"
120



",请以你的名字呼唤我,8.8,262621人评价,"
沉醉在电影的情感和视听氛围中无法自拔。
"
"
121



",杀人回忆,8.7,264068人评价,"
关于连环杀人悬案的集体回忆。
"
"
122



",神偷奶爸,8.5,495008人评价,"
Mr. I Don't Care其实也有Care的时候。
"
"
123



",借东西的小人阿莉埃蒂,8.7,271264人评价,"
曾经的那段美好会沉淀为一辈子的记忆。
"
"
124



",哈利·波特与死亡圣器(下),8.7,355206人评价,"
10年的完美句点。
"
"
125



",小森林 冬春篇,9.0,163877人评价,"
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
"
"
126



",七武士,9.2,97760人评价,"
时代悲歌。
"
"
127



",岁月神偷,8.6,361182人评价,"
岁月流逝，来日可追。
"
"
128



",怪兽电力公司,8.6,314936人评价,"
不要给它起名字，起了名字就有感情了。
"
"
129



",7号房的礼物,8.8,232597人评价,"
《我是山姆》的《美丽人生》。
"
"
130



",真爱至上,8.5,390375人评价,"
爱，是个动词。
"
"
131



",电锯惊魂,8.7,248390人评价,"
真相就在眼前。
"
"
132



",谍影重重3,8.7,226160人评价,"
像吃了苏打饼一样干脆的电影。
"
"
133



",萤火虫之墓,8.7,246633人评价,"
幸福是生生不息，却难以触及的远。 
"
"
134



",萤火之森,8.8,215675人评价,"
触不到的恋人。
"
"
135



",疯狂原始人,8.7,459027人评价,"
老少皆宜，这就是好莱坞动画的魅力。
"
"
136



",东邪西毒,8.6,318919人评价,"
电影诗。
"
"
137



",超能陆战队,8.6,482260人评价,"
Balalala~~~
"
"
138



",喜宴,8.8,174090人评价,"
中国家庭的喜怒哀乐忍。
"
"
139



",唐伯虎点秋香,8.5,453594人评价,"
华太师是黄霑，吴镇宇四大才子之一。
"
"
140



",贫民窟的百万富翁,8.5,460012人评价,"
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
"
"
141



",蝙蝠侠：黑暗骑士崛起,8.6,364737人评价,"
诺兰就是保证。
"
"
142



",记忆碎片,8.6,338706人评价,"
一个针管引发的血案。
"
"
143



",黑天鹅,8.5,499748人评价,"
黑暗之美。
"
"
144



",英雄本色,8.6,232145人评价,"
英雄泪短，兄弟情长。 
"
"
145



",心迷宫,8.7,239486人评价,"
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
"
"
146



",雨人,8.7,244500人评价,"
生活在自己的世界里，也可以让周围的人显得可笑和渺小。
"
"
147



",无人知晓,9.1,102986人评价,"
我的平常生活就是他人的幸福。
"
"
148



",傲慢与偏见,8.5,378017人评价,"
爱是摈弃傲慢与偏见之后的曙光。
"
"
149



",荒蛮故事,8.8,191623人评价,"
始于荒诞，止于更荒诞。
"
"
150



",卢旺达饭店,8.9,146873人评价,"
当这个世界闭上双眼，他却敞开了怀抱。
"
"
151



",纵横四海,8.7,194010人评价,"
香港浪漫主义警匪动作片的巅峰之作。
"
"
152



",血战钢锯岭,8.7,410936人评价,"
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
"
"
153



",时空恋旅人,8.7,261183人评价,"
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
"
"
154



",教父3,8.8,166204人评价,"
任何信念的力量，都无法改变命运。
"
"
155



",玩具总动员3,8.8,236703人评价,"
跨度十五年的欢乐与泪水。
"
"
156



",海边的曼彻斯特,8.6,261347人评价,"
我们都有权利不与自己的过去和解。
"
"
157



",海洋,9.0,109795人评价,"
大海啊，不全是水。
"
"
158



",花样年华,8.6,302006人评价,"
偷情本没有这样美。
"
"
159



",完美的世界,9.0,104308人评价,"
坏人的好总是比好人的好来得更感人。
"
"
160



",达拉斯买家俱乐部,8.7,234658人评价,"
Jared Leto的腿比女人还美！
"
"
161



",虎口脱险,8.9,127098人评价,"
永远看不腻的喜剧。
"
"
162



",恋恋笔记本,8.5,345828人评价,"
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
"
"
163



",你看起来好像很好吃,8.8,181867人评价,"
感情不分食草或者食肉。
"
"
164



",燃情岁月,8.7,170589人评价,"
传奇，不是每个人都可以拥有。
"
"
165



",二十二,8.7,142719人评价,"
有一些东西不应该被遗忘。
"
"
166



",雨中曲,9.0,111313人评价,"
骨灰级歌舞片。
"
"
167



",冰川时代,8.5,335996人评价,"
松鼠才是角儿。
"
"
168



",我是山姆,8.8,132013人评价,"
爱并不需要智商 。
"
"
169



",穿越时空的少女,8.6,222800人评价,"
爱上未来的你。 
"
"
170



",头脑特工队,8.7,295562人评价,"
愿我们都不用长大，每一座城堡都能永远存在。
"
"
171



",被解救的姜戈,8.6,314965人评价,"
热血沸腾，那个低俗、性感的无耻混蛋又来了。
"
"
172



",魂断蓝桥,8.8,151391人评价,"
中国式内在的美国电影。
"
"
173



",猜火车,8.5,286197人评价,"
不可猜的青春迷笛。 
"
"
174



",人工智能,8.6,231806人评价,"
对爱的执着，可以超越一切。
"
"
175



",爆裂鼓手,8.6,290224人评价,"
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
"
"
176



",无敌破坏王,8.7,260132人评价,"
迪士尼和皮克斯拿错剧本的产物。
"
"
177



",你的名字。,8.4,634072人评价,"
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
"
"
178



",未麻的部屋,8.9,126225人评价,"
好的剧本是，就算你猜到了结局也猜不到全部。
"
"
179



",罗生门,8.7,156609人评价,"
人生的N种可能性。
"
"
180



",模仿游戏,8.6,315681人评价,"
他给机器起名“克里斯托弗”，因为这是他初恋的名字。
"
"
181



",阿飞正传,8.5,260992人评价,"
王家卫是一种风格，张国荣是一个代表。
"
"
182



",香水,8.4,329897人评价,"
一个单凭体香达到高潮的男人。
"
"
183



",房间,8.8,199110人评价,"
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
"
"
184



",一个叫欧维的男人决定去死,8.8,164456人评价,"
惠及一生的美丽。
"
"
185



",浪潮,8.7,158258人评价,"
世界离独裁只有五天。
"
"
186



",朗读者,8.5,313859人评价,"
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
"
"
187



",恐怖游轮,8.4,402883人评价,"
不要企图在重复中寻找已经失去的爱。
"
"
188



",忠犬八公物语,9.1,81070人评价,"
养狗三日，便会对你终其一生。
"
"
189



",魔女宅急便,8.5,243825人评价,"
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
"
"
190



",完美陌生人,8.5,282007人评价,"
来啊，互相伤害啊！
"
"
191



",可可西里,8.7,155497人评价,"
坚硬的信仰。
"
"
192



",哪吒闹海,8.9,104844人评价,"
想你时你在闹海。
"
"
193



",战争之王,8.6,204126人评价,"
做一颗让别人需要你的棋子。
"
"
194



",谍影重重,8.5,233725人评价,"
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
"
"
195



",谍影重重2,8.6,195122人评价,"
谁说王家卫镜头很晃？
"
"
196



",一次别离,8.7,155367人评价,"
只有有信仰的人才能说出事实真相。
"
"
197



",地球上的星星,8.9,105433人评价,"
天使保护事件始末。
"
"
198



",牯岭街少年杀人事件,8.8,131974人评价,"
弱者送给弱者的一刀。
"
"
199



",黑客帝国3：矩阵革命,8.6,195066人评价,"
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
"
"
200



",追随,8.9,97969人评价,"
诺兰的牛逼来源于内心散发出的恐惧。
"
"
201



",海街日记,8.7,179353人评价,"
是枝裕和的家庭习作。
"
"
202



",撞车,8.6,202612人评价,"
天使与魔鬼的冲撞。
"
"
203



",惊魂记,8.9,105284人评价,"
故事的反转与反转，分裂电影的始祖。
"
"
204



",青蛇,8.5,272126人评价,"
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
"
"
205



",再次出发之纽约遇见你,8.5,216342人评价,"
爱我就给我看你的播放列表。
"
"
206



",小萝莉的猴神大叔,8.5,225219人评价,"
宝莱坞的萝莉与大叔。
"
"
207



",梦之安魂曲,8.7,132322人评价,"
一场没有春天的噩梦。
"
"
208



",三块广告牌,8.7,402712人评价,
"
209



",步履不停,8.8,115582人评价,"
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
"
"
210



",新龙门客栈,8.5,227944人评价,"
嬉笑怒骂，调风动月。
"
"
211



",源代码,8.4,475639人评价,"
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
"
"
212



",终结者2：审判日,8.6,173108人评价,"
少见的超越首部的续集，动作片中的经典。
"
"
213



",东京物语,9.2,63884人评价,"
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
"
"
214



",初恋这件小事,8.3,559813人评价,"
黑小鸭速效美白记。
"
"
215



",疯狂的石头,8.3,392819人评价,"
中国版《两杆大烟枪》。
"
"
216



",爱在午夜降临前,8.8,145088人评价,"
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
"
"
217



",城市之光,9.3,56789人评价,"
永远的小人物，伟大的卓别林。
"
"
218



",无耻混蛋,8.5,264025人评价,"
昆汀同学越来越变态了，比北野武还杜琪峰。
"
"
219



",绿里奇迹,8.7,129089人评价,"
天使暂时离开。
"
"
220



",末路狂花,8.7,124577人评价,"
没有了退路，只好飞向自由。
"
